Tale,preprocessed_tale
"Живёт на свете Саша. Во рту у Саши каша - Не рисовая каша, Не гречневая каша, Не манка, Не овсянка На сладком молоке. С утра во рту у Саши Слова простые наши - Слова простые наши На русском языке. Но то, что можно внятно Сказать для всех понятно, Красиво, чисто, ясно, - Как люди говорят, - Наш Саша так корёжит, Что сам понять не может: Произнесёт словечко - И сам тому не рад! Он скажет: ""До свидания!"" А слышится: ""До здания!"" Он спросит: ""Где галоши?"" А слышно: ""Это лошадь?"" Когда он вслух читает, Поймёшь едва-едва: И буквы он глотает, И целые слова. Он так спешит с налёта Прочесть, спросить, сказать, Как будто тонет кто-то, А он бежит спасать... Он может, но не хочет За речью последить. Нам нужен переводчик Его переводить. ",жить свет саша рот саша каша рисовый каша гречневый каша манка овсянка сладкий молоко утро рот саша слово простой наш слово простой наш русский язык внятно сказать понятно красиво чисто ясно человек говорить наш саша корёжить понять произнести словечко тот рад сказать свидание слышаться здание спросить галоша слышный это лошадь вслух читать понять буква глотать целый слово спешить налёт прочесть спросить сказать тонуть бежать спасать хотеть речь последить мы нужный переводчик переводить
"Ты не спишь, Подушка смята, Одеяло на весу... Носит ветер запах мяты, Звёзды падают в росу. На берёзах спят синицы, А во ржи перепела... Почему тебе не спится? Ты же сонная легла! Ты же выросла большая, Не боишься темноты... Может, звёзды спать мешают? Может, вынести цветы? Под кустом лежит зайчиха, Спать и мы с тобой должны. Друг за дружкой Тихо-тихо По квартирам ходят сны. Где-то плещут океаны, Спят медузы на волне. В зоопарке пеликаны Видят Африку во сне. Черепаха рядом дремлет, Слон стоит закрыв глаза, Снятся им родные земли И над землями гроза. Ветры к югу повернули, В переулках - ни души, Сонно на реке Амуре Шевельнулись камыши, Тонкие качнулись травы, Лес как вкопанный стоит... У далёкой У заставы Часовой в лесу не спит. Он стоит - Над ним зарницы, Он глядит на облака: Над его ружьём границу Переходят облака. На зверей они похожи, Только их нельзя поймать... Спи. Тебя не потревожат. Ты спокойно можешь спать. Я тебя будить не стану: Ты до утренней зари В тёмной комнате, Светлана, Сны весёлые смотри. От больших дорог усталый, Тёплый ветер лёг в степи. Накрывайся одеялом, Спи... ",спать подушка смять одеяло вес носить ветер запах мятый звезда падать роса берёза спать синица рожь перепел почему ты спаться сонный лечь вырасти больший бояться темнота звезда спать мешать вынести цветок куст лежать зайчиха спать ты должный друг дружка квартира ходить сон плескать океан спать медуза волна зоопарк пеликан видеть африка сон черепаха рядом дремать слон стоить закрыть глаз сниться родный земля земля гроза ветер юг повернуть переулок душа сонно река амур шевельнуться камыш тонкий качнуться трава лес вкопать стоить далёкий застава часовой лес спать стоить зарница глядеть облако ружьё граница переходить облако зверь похожий поймать спать потревожить спокойно мочь спать будить стать утренний заря тёмный комната светлана сон весёлый смотреть больший дорога усталый тёплый ветер лечь степь накрываться одеяло спать
"Живёт у нас под крышей Непризнанный артист, И целый день мы слышим Художественный свист. Ещё в полях туманы, Ещё роса блестит, А он, проснувшись рано Уже вовсю свистит. Свистит не славы ради, Не ради всяких благ, А просто в небо глядя, От сердца! Просто так! Выводит он рулады По нескольку минут... Не требуя награды За свой талант и труд. ",жить крыша непризнанный артист целый день слышать художественный свист ещё поле туман ещё роса блестеть проснуться рано вовсю свистеть свистеть слава ради ради всякий благо просто небо глядеть сердце просто выводить рулада несколько минута требовать награда свой талант труд
"В снегу стояла ёлочка - Зелёненькая чёлочка, Смолистая, Здоровая, Полутораметровая. Произошло событие В один из зимних дней: Лесник решил срубить её - Так показалось ей. Она была замечена, Была окружена... И только поздно вечером Пришла в себя она. Какое чувство странное! Исчез куда-то страх... Фонарики стеклянные Горят в её ветвях. Сверкают украшения - Какой нарядный вид! При этом, без сомнения, Она в лесу стоит. Несрубленная! Целая! Красива и крепка!.. Кто спас, кто разодел её? Сынишка лесника! ",снег стоять ёлочка зелёненький чёлочка смолистый здоровый полутораметровый произойти событие зимний день лесник решить срубить показаться заметить окружить поздно вечером прийти какой чувство странный исчезнуть страх фонарик стеклянный гореть ветвь сверкать украшение нарядный вид сомнение лес стоить несрубленный целый красивый крепкий спасти разодеть сынишка лесник
"На дверях висел Замок. Взаперти сидел Щенок. Все ушли И одного В доме Заперли его. Мы оставили Трезора Без присмотра, Без надзора. И поэтому щенок Перепортил всё, что мог. Разорвал на кукле платье, Зайцу выдрал шерсти клок, В коридор из-под кровати Наши туфли уволок. Под кровать загнал кота - Кот остался без хвоста. Отыскал на кухне угол - С головой забрался в уголь, Вылез чёрный - не узнать. Влез в кувшин - Перевернулся, Чуть совсем не захлебнулся И улёгся на кровать Спать... Мы щенка в воде и мыле Два часа мочалкой мыли. Ни за что теперь его Не оставим одного! ",дверь висеть замок взаперти сидеть щенок уйти один дом запереть оставить трезора присмотр надзор поэтому щенок перепортить всё мочь разорвать кукла платье заяц выдрать шерсть клок коридор кровать наш туфля уволочь кровать загнать кот кот остаться хвост отыскать кухня угол голова забраться уголь вылезти чёрный узнать влезть кувшин перевернуться захлебнуться улечься кровать спать щенок вода мыло час мочалка мыть оставить один
"У меня опять: Тридцать шесть и пять! Озабоченно и хмуро Я на градусник смотрю: Где моя температура? Почему я не горю? Почему я не больной? Я здоровый! Что со мной? У меня опять: Тридцать шесть и пять! Живот потрогал - не болит! Чихаю - не чихается! И кашля нет! И общий вид Такой, как полагается! И завтра ровно к девяти Придётся в школу мне идти И до обеда там сидеть - Читать, писать и даже петь! И у доски стоять, молчать, Не зная, что же отвечать... У меня опять: Тридцать шесть и пять! Я быстро градусник беру И меж ладоней долго тру, Я на него дышу, дышу И про себя прошу, прошу: ""Родная, миленькая ртуть! Ну, поднимись ещё чуть-чуть! Ну, поднимись хоть не совсем - Остановись на ""тридцать семь""!"" Прекрасно! Тридцать семь и два! Уже кружится голова! Пылают щёки (от стыда!)... - Ты нездоров, мой мальчик? - Да... Я опять лежу в постели - Не велели мне вставать. А у меня на самом деле - Тридцать шесть и пять! ",тридцать шесть пять озабоченно хмуро градусник смотреть температура почему горе почему больной здоровый я тридцать шесть пять живот потрогать болеть чихать чихаяться кашель общий вид полагаться завтра ровно девять прийтись школа идти обед сидеть читать писать петь доска стоять молчать знать отвечать тридцать шесть пять быстро градусник брать меж ладонь долго тереть дышать дышать просить просить родный миленький ртуть подняться ещё подняться остановиться тридцать семь прекрасно тридцать семь кружиться голова пылать щека стыд нездоровый мальчик лежать постель велеть вставать сам дело тридцать шесть пять
"На вечерней зорьке Уточку убили, Уточку убили - Метко подстрелили: Лишь одна дробинка В сердце ей попала - За кустом в болото Уточка упала. Как она упала - Клювом в воду ткнулась, Так она лежала, Не пошевельнулась, И её по ветру Отнесло в осоку. Не нырять ей больше, Не летать высоко. Не нашёл охотник Уточки убитой, За кустом болотным Камышами скрытой, Не достал добычи, Зря искал, бранился... Долго над болотом Селезень кружился... ",вечерний зорька уточка убить уточка убить метко подстрелить лишь один дробинка сердце попасть куст болото уточка упасть упасть клюв вода ткнуться лежать пошевельнуться ветер отнести осока нырять летать высоко найти охотник уточка убитый куст болотный камыш скрытый достать добыча зря искать браниться долго болото селезень кружиться
"Я был знаком С одним быком, Когда в деревне жил. С людьми он дружбы не искал, Детей к себе не подпускал. А вот со мной дружил! Да, да! Не знаю почему, Я чем-то нравился ему: Когда меня встречал, Он на меня, как на врага, Не выставлял свои рога, А дружески мычал. Бывало, выйдешь на лужок И позовёшь его: - Дружок? - А он в ответ: - Иду-у-у! - И сам действительно идёт И не спеша губами рвёт Ромашки на ходу. За лето я к нему привык, И это был мой личный бык! Пять лет прошло с тех пор. Не знаю я, что с ним теперь И с кем он дружит, грозный зверь По кличке Фантазёр... ",знак один бык деревня жить человек дружба искать ребёнок подпускать я дружить знать почему нравиться встречать враг выставлять свой рог дружески мычать бывало выйти лужок позвать дружок ответ действительно идти спешить губа рвать ромашка ход лето он привыкнуть это личный бык пять год пройти тот пора знать кто дружить грозный зверь кличка фантазёр
"В одном переулке Стояли дома. В одном из домов Жил упрямый Фома. Ни дома, ни в школе, Нигде, никому - Не верил Упрямый Фома Ничему. На улицах слякоть, И дождик, И град. - Наденьте галоши, - Ему говорят. - Неправда, - Не верит Фома, - Это ложь... - И прямо по лужам Идет без галош. Мороз Надевают ребята коньки. Прохожие подняли воротники. Фоме говорят: - Наступила зима. - В трусах На прогулку выходит Фома. Идёт в зоопарке С экскурсией он, - Смотрите, - ему говорят, - Это слон. - И снова не верит Фома: - Это ложь. Совсем этот слон На слона не похож. Однажды Приснился упрямому сон, Как будто Шагает по Африке он. С небес Африканское солнце печёт, Река, под названием Конго, Течёт. Подходит к реке Пионерский отряд. Ребята Фоме У реки говорят: - Купаться нельзя: Аллигаторов тьма. - Неправда! - Друзьям отвечает Фома. Трусы и рубашка Лежат на песке. Упрямец плывёт По опасной реке. Близка Аллигатора хищная пасть. - Спасайся, несчастный, Ты можешь пропасть! Но слышен Ребятам Знакомый ответ: - Прошу не учить, Мне одинадцать лет! Уже крокодил У фомы за спиной. Уже крокодил Поперхнулся фомой: Из пасти у зверя Торчит голова. До берега Ветер доносит слова: - Непра... - Я не ве... - Аллигатор вздохнул И, сытый, В зелёную воду нырнул. Трусы и рубашка Лежат на песке. Никто не плывёт По опасной реке. Проснулся Фома, Ничего не поймёт... Трусы и рубашку Со стула берёт. Фома удивлён, Фома возмущён: - Неправда, товарищи, Это не сон! Ребята, Найдите такого Фому И эти стихи Прочитайте ему. ",один переулок стоять дом один дом жить упрямый фома дом школа нигде никто верить упрямый фома ничто улица слякоть дождик град надеть галоша говорить неправда верить фома это ложь прямо лужа идти галоша мороз надевать ребята конёк прохожий поднять воротник фома говорить наступить зима трус прогулка выходить фома идти зоопарк экскурсия смотреть говорить это слон снова верить фома это ложь слон слон похожий однажды присниться упрямый сон шагать африка небо африканский солнце печь река название конго течь подходить река пионерский отряд ребята фома река говорить купаться аллигатор тьма неправда друг отвечать фома трус рубашка лежать песок упрямец плыть опасный река близкий аллигатор хищный пасть спасаться несчастный мочь пропасть слышный ребята знакомый ответ просить учить одинадцать год крокодил фома спина крокодил поперхнуться фома пасти зверь торчать голова берег ветер доносить слово непра аллигатор вздохнуть сытый зелёный вода нырнуть трус рубашка лежать песок никто плыть опасный река проснуться фома понять трус рубашка стул брать фома удивлённый фома возмутить неправда товарищ это сон ребята найти такой фома стих прочитать
"Три девочки - три школьницы Купили эту вазу. Искали, Выбирали, Нашли её не сразу - Овальную, Хрустальную, Чудесного стекла. Из тех, что в магазине Стояли на витрине, Овальная, Хрустальная - Она одна была. Сперва, от магазина, Несла покупку Зина, А до утла бульвара Несла её Тамара. Вот у Тамары Женя Берёт её из рук, Неловкое движение - И вдруг... В глазах подруг Туманом застилаются И небо, и земля, А солнце отражается В осколках хрусталя. Три девочки - три школьницы Стоят на мостовой. К трём девочкам - к трём школьницам Подходит постовой: - Скажите, что случилось? - Разби... разби... разбилась! Три школьницы рыдают У Кировских ворот. Подружек окружает Взволнованный народ: - Скажите, что случилось? - Разби... разби... разбилась! - Скажите, что случилось? Что здесь произошло? - Да, говорят, разбилось Какое-то стекло! - Нет! Не стекло, а ваза! - Все три сказали сразу. - Подарок мы купили! Нас выбрал пятый класс. Подарок мы купили, Купили и... разбили! И вот теперь ни вазы, Ни денег нет у нас! - Так вот какое дело! - Толпа тут загудела. - Не склеишь эти части! - Сказал один шофёр. - Действительно, несчастье!  Заметил старый мастер. И, на осколки глядя, Вздохнул огромный дядя - Заслуженный боксёр. В том самом магазине, Где вазы на витрине, В громадном магазине Людей полным-полно. От лётчика-майора До знатного шахтёра - Кого там только нету! А нужно всем одно. Под звонким объявлением ""Стекло, хрусталь, фарфор"" Большое оживление - Идёт горячий спор: - Пожалуйста, гранёную! - Не эту, а зелёную! - Не лучше ли, товарищи, Из красного стекла? - Вот эту, что поближе, Которая пониже! - Что скажете, товарищи? Не слишком ли мала? Шофёру ваза нравится - Зелёная красавица. А лётчику - прозрачная, Как голубой простор. - А я бы выбрал эту, Красивей вазы нету! - Сказал майору вежливо Заслуженный боксёр. Три юных пятиклассницы Сидят, переживая, Что их везёт трёхтонная Машина грузовая. Даёт проезд машине Знакомый постовой, Тамаре, Жене, Зине Кивает головой. А девочки в волнении, Одна бледней другой: В кабине, на сидении, - Подарок дорогой! - Нельзя ли чуть потише, Товарищ дядя Гриша! - Водителю подруги В окошечко стучат. Шофер в ответ смеётся: - У нас не разобьётся! У нас другой порядок - Не как у вас, девчат! Учительнице скромной За труд её огромный К семидесятилетию - В большое торжество - В просторном школьном зале Три школьницы вручали Подарок драгоценный. Подарок? От кого? От штатских и военных - Людей обыкновенных, От всех в живых оставшихся Участников войны, От бывших одноклассников, На встречи собиравшихся, От мальчиков и девочек - От всех детей страны! ",девочка школьница купить ваз искать выбирать наслать сразу овальный хрустальный чудесный стекло тот магазин стоять витрина овальный хрустальный один сперва магазин нести покупка зина утлый бульвар нести тамара тамара женя брать рука неловкий движение глаз подруга туман застилаться небо земля солнце отражаться осколок хрусталь девочка школьница стоять мостовая три девочка три школьница подходить постовой сказать случиться разбить разбить разбиться школьница рыдать кировский ворота подружка окружать взволновать народ сказать случиться разбить разбить разбиться сказать случиться произойти говорить разбиться стекло стекло ваза сказать сразу подарок купить выбрать пятый класс подарок купить купить разбить ваза деньга какой дело толпа загудеть склеить часть сказать шофер действительно несчастие заметить старый мастер осколок глядеть вздохнуть огромный дядя заслужить боксёр сам магазин ваза витрина громадный магазин человек знатный шахтёр кто нету нужно весь один звонкий объявление стекло хрусталь фарфор большой оживление идти горячий спор пожалуйста гранёный зелёный товарищ красный стекло близкий который низкий сказать товарищ слишком маленький шофер ваза нравиться зелёный красавица лётчик прозрачный голубой простор выбрать красивый ваза нету сказать майор вежливый заслужить боксёр юный пятиклассница сидеть переживать везти трёхтонный машина грузовой давать проезд машина знакомый постовой тамара жена зина кивать голова девочка волнение один бледнеть кабина сидение подарок дорога тихий товарищ дядя гриша водитель подруга окошечко стучать шофер ответ смеяться разбиться порядок девчата учительница скромный труд огромный семидесятилетие большой торжество просторный школьный зал школьница вручать подарок драгоценный подарок кто штатский военный человек обыкновенный живой остаться участник война бывший одноклассник встреча собираться мальчик девочка ребёнок страна
"Чтобы ходики Ходили, А будильники будили И всегда любой из нас Точно знал, Который час, По каким часам Вставать, По каким часам В кровать,- В часовой мастерской Чинят время день-деньской. Входит с жалобой старушка: - Как же мне не горевать! Из моих часов Кукушка Перестала куковать... - Всё понятно старику, Старику часовщику. Из окошечка резного Снова слышится: ""Ку-ку!"" Мы в часы мячом попали, Со стола часы упали. Под столом раздался звон, И пружина вышла вон. Мы сказали: - Дядя Ваня, Мы давно знакомы с вами. Неужели в этот раз Вы не выручите нас? Щуря глаз И хмуря брови, Поворчав себе в усы, Часовщик Иван Петрович Осторожно взял часы. Всё понятно старику, Старику часовщику. Мы теперь приходим в класс Раньше всех на целый час. ",ходик ходить будильник будить любой точно знать который час какой час вставать какой час кровать часовой мастерская чинить время входить жалоба старушка горевать мой час кукушка перестать куковать всё понятно старик старик часовщик окошечко резной снова слышаться часы мяч попасть стол часы упасть стол раздаться звон пружина выйти вон сказать дядя ваня давно знакомый вы неужели выручить щурить глаз хмурить бровь поворчать ус часовщик иван петрович осторожно взять часы всё понятно старик старик часовщик приходить класс ранний целый час
"Писать красиво не легко: ""Да-ёт ко-ро-ва мо-ло-ко"". За буквой буква,  к слогу слог. Ну хоть бы кто-нибудь помог! Сначала ""да"", потом уж ""ёт"". Уже написано ""даёт"", Уже написано ""даёт"", Но тут перо бумагу рвёт. Опять испорчена тетрадь - Страничку надо вырывать! Страничка вырвана, и вот: ""Ко-ро-ва мо-ло-ко да-ёт"". ""Корова молоко даёт"", А нужно всё наоборот: ""Даёт корова молоко""! Вздохнём сначала глубоко, Вздохнём, строку перечеркнём И дело заново начнём. ""Да-ёт ко-ро-ва мо-ло-ко"". Перо цепляется за ""ко"", И клякса чёрная, как жук, С конца пера сползает вдруг. Одной секунды не прошло, Как скрылись ""ко"", и ""мо"", и ""ло""... Ещё одну страничку вон! А за окном со всех сторон: И стук мяча, и лай щенка, И звон какого-то звонка, - А я сижу, в тетрадь гляжу - За буквой букву вывожу: ""Да-ёт ко-ро-ва мо-ло-ко""... Да! Стать учёным не легко! ",писать красиво легко буква буква слог слог помочь сначала написать давать написать давать перо бумага рвать испортить тетрадь страничка вырывать страничка вырвать корова молоко давать нужно всё наоборот давать корова молоко вздохнуть сначала глубоко вздохнуть строка перечеркнуть дело заново начать перо цепляться клякса чёрный жук конец перо сползать один секунда пройти скрыться ещё один страничка вон окно сторона стук мяч лай щенок звон звонок сидеть тетрадь глядеть буква буква выводить стать учёный легко
"Для больного человека Нужен врач, нужна аптека. Входишь - чисто и светло. Всюду мрамор и стекло. За стеклом стоят в порядке Склянки, банки и горшки, В них пилюльки и облатки, Капли, мази, порошки - От коклюша, от ангины, От веснушек на лице, Рыбий жир, таблетки хины И, конечно, витамины - Витамины: А, В, С! Есть душистое втиранье От укусов комаров, Есть микстура от чиханья: Проглотил - и будь здоров! Клейкий пластырь от мозолей И настойки на траве От ломоты и от болей В животе и в голове. Есть микстура от мигрени! Но нельзя сказать врачу: - Дайте средство мне от лени! От ""могу, но не хочу""! Хорошо бы это средство Поскорей изобрели, Чтобы все лентяи с детства Принимать его могли: Те ребята, чьи отметки Обнаруживают лень, - По одной, по две таблетки Три-четыре раза в день! Появись лекарство это, Я купил бы два пакета. Нет, не два, а целых три! Нужно, что ни говори! ",больной человек нужный врач нужный аптека входить чисто светло всюду мрамор стекло стекло стоять порядок склянка банк горшок пилюлька облатка капля мазь порошок коклюш ангина веснушка лицо рыбий жир таблетка хина витамин витамин душистый втирание укус комар микстура чихание проглотить быть здоровый клейкий пластырь мозоль настойка трава ломота боль живот голова микстура мигрень сказать врач дать средство лень мочь хотеть это средство скорый изобрести лентяй детство принимать мочь ребята чей отметка обнаруживать лень один два таблетка раз день появиться лекарство это купить пакет целый нужно говорить
"Я сегодня сбилась с ног - У меня пропал щенок. Два часа его звала, Два часа его ждала, За уроки не садилась И обедать не могла. В это утро Очень рано Соскочил щенок с дивана, Стал по комнатам ходить, Прыгать, Лаять, Всех будить. Он увидел одеяло - Покрываться нечем стало. Он в кладовку заглянул - С мёдом жбан перевернул. Он порвал стихи у папы, На пол с лестницы упал, В клей залез передней лапой, Еле вылез И пропал… Может быть, его украли, На верёвке увели, Новым именем назвали, Дом стеречь Заставили? Может, он в лесу дремучем Под кустом сидит колючим, Заблудился, Ищет дом, Мокнет, бедный, под дождём? Я не знала, что мне делать. Мать сказала: - Подождём. Два часа я горевала, Книжек в руки не брала, Ничего не рисовала, Всё сидела и ждала. Вдруг Какой-то страшный зверь Открывает лапой дверь, Прыгает через порог... Кто же это? Мой щенок. Что случилось, Если сразу Не узнала я щенка? Нос распух, не видно глаза, Перекошена щека, И, впиваясь, как игла, На хвосте жужжит пчела. Мать сказала: - Дверь закрой! К нам летит пчелиный рой. - Весь укутанный, В постели Мой щенок лежит пластом И виляет еле-еле Забинтованным хвостом. Я не бегаю к врачу - Я сама его лечу. ",сегодня сбиться нога пропасть щенок час звать час ждать урок садиться обедать мочь это утро очень рано соскочить щенок диван стать комната ходить прыгать лаять будить увидеть одеяло покрываться нечего стать кладовка заглянуть мёд жбан перевернуть порвать стих папа пол лестница упасть клей залезть передний лапа еле вылезти пропасть украсть верёвка увести новый имя назвать дом стеречь заставить лес дремучий куст сидеть колючий заблудиться искать дом мокнуть бедный дождь знать делать мать сказать подождать час горевать книжка рука брать рисовать всё сидеть ждать страшный зверь открывать лапа дверь прыгать порог это щенок случиться сразу узнать щенок нос распухнуть видно глаз перекосить щека впиваться игла хвост жужжать пчела мать сказать дверь закрыть мы лететь пчелиный рой весь укутать постель щенок лежать пласт вилять забинтовать хвост бегать врач сам лететь
"- Это что? - Это Цирк Шапито! Интересно! Интересно! Все хотят сюда попасть! Шумно, Весело И тесно Негде яблоку упасть! Мне и папе говорят: - Проходите в третий ряд! Гражданин, спешите сесть! Ваше кресло - номер шесть, Ваше кресло - номер пять! Мы спешим места занять. Смельчак идёт, смеётся, Ни разу не споткнётся. Нельзя ему споткнуться Под куполом канат! Он может по канату Пройтись, как по Арбату, Пройтись и повернуться И пробежать назад! Жонглёр Силантьев молодец: Бросает в воздух сто колец И ловит их по одному, Чтоб мы похлопали ему. Все аплодируют вокруг: - Вот это значит - ловкость рук! Кто этот храбрый человек? Он улыбнулся мне! Джигит, наездник Али-Бек На рыжем скакуне. Он скачет, стоя в стременах, Башлык за ним летит. Ружьё в руках, Кинжал в ножнах На то он и джигит! Сначала конь берёт разбег, Потом стреляет Али-Бек И поднимает на дыбы Горячего коня. Но не пугает гром пальбы Ни папу, ни меня. Фокус простой: Сундук пустой, В нём нет ничего! Закроем его! Запрём! Завяжем! Перевернём! Послушайте: Кто шевелится в нём? А когда сундук открыли Зашуршали чьи-то крылья, Кто-то весело залаял, И потом из сундука Появились: Птичек стая, Два надутых индюка, Кошка, кролик и собака, Мальчик с факелом в руке. Как же все они, однако, Очутились в сундуке? На гимнастов посмотри, Это «ТРИ ПЕТРОВЫ ТРИ»! Выступает очень редко Эта труппа мастеров. Раз! - летит Петров над сеткой, Два! - поймал его Петров. Три! - и прыгнуть вниз готова, Так прекрасна и храбра, Зоя Павловна Петрова Их любимая сестра! И опять под самый купол Поднялись за братом брат. Завтра ночью Эта труппа Уезжает в Ленинград. Семь артистов петь желают Семь артистов дружно лают. Вот идут на задних лапках Две артистки в модных шляпках. Спотыкаются, Визжат, Мелко хвостики дрожат. Полкан - хороший ученик, Достоин уважения: За год ученья он постиг Таблицу умножения. Любые цифры может он И вычесть и сложить. Тому, кто с детства неучён, На свете трудно жить! Прокатиться Мишке дали. Бурый Миша - старый плут: Нажимает на педали, Ездит целых пять минут. Это - два родные братца. Приказали им качаться. Левый Мишка хочет есть, Но никак не может слезть. Правый Мишка хочет в лес Он бы выше там залез! Ежедневно перед зрителем Выступает с группой львов В капитанском белом кителе Укротитель Иванов. Иванов на льве катается, Дразнит хищника хлыстом Лев рычит, но не кусается, По решётке бьёт хвостом. Иванов повадку львиную Изучает пятый год Он спокойно в пасть звериную Руку левую кладёт. А потом со львом целуется, Зверя за уши берёт... Удивляется, Волнуется, Аплодирует народ. Пойдём! Домой пора. Выходим - дождь как из ведра! Насквозь промокнем! Но зато Мы были в Цирке Шапито! ",это это цирк шапито интересно интересно хотеть сюда попасть шумно весело тесно негде яблоко упасть папа говорить проходить третий ряд гражданин спешить сесть ваш кресло номер шесть ваш кресло номер пять спешить место занять смельчак идти смеяться раз споткнуться споткнуться купол канат канат пройтись арбат пройтись повернуться пробежать назад жонглёр силантьев молодец бросать воздух сто кольцо ловить один похлопать аплодировать вокруг это значит ловкость рука храбрый человек улыбнуться джигит наездник рыжий скакун скакать стоя стремя башлык лететь ружьё рука кинжал ножны джигит сначала конь брать разбег стрелять поднимать дыба горячее конь пугать гром пальба папа фокус простой сундук пустой он закрой запереть завязать перевернуть послушать шевелиться он сундук открыть зашуршать крыло весело залаять сундук появиться птичка стая надутый индюк кошка кролик собака мальчик факел рука однако очутиться сундук гимнаст посмотреть это петров выступать очень редко этот труппа мастер лететь петров сетка поймать петров прыгнуть вниз готовый прекрасный храбрый зоя павлович петров любимый сестра самый купол подняться брат брат завтра ночью этот труппа уезжать ленинград семь артист петь желать семь артист дружно лаять идти задний лапка два артистка модный шляпка спотыкаться визжать мелко хвостик дрожать полкан хороший ученик достойный уважение год учение постичь таблица умножение любой цифра вычесть сложить тот детство неучёный свет трудно жить прокатиться мишка дать бурый миша старый плут нажимать педаль ездить целый пять минута это родный братец приказать качаться левый мишка хотеть никак слезть правый мишка хотеть лес выше залезть ежедневно зритель выступать группа лев капитанский белый китель укротитель иванов иванов лев кататься дразнить хищник хлыст лев рычать кусаться решётка бить хвост иванов повадка львиный изучать пятый год спокойно пасть звериный рука левый класть лев целоваться зверь ухо брать удивляться волноваться аплодировать народ пойти домой пора выходить дождь ведро насквозь промокнуть зато цирк шапито
